chainage_m,E,N,thalweg_mRL,crest_left_mRL,crest_right_mRL,bankfull_mRL,limiting_bank,bankfull_depth_m,top_width_m,area_m2,capacity_m3s,slope,stage_150_m,freeboard_150_m,stage_300_m,freeboard_300_m
19125.0,1555321.932,5195521.009,73.285,76.036,75.776,75.776,right,2.491,450.0,472.57,1072.037,0.006,1.75,0.741,1.95,0.541
19375.0,1555545.673,5195410.271,71.322,74.381,74.322,74.322,right,3.0,220.0,303.447,864.528,0.007,1.95,1.05,2.35,0.65
19625.0,1555771.777,5195304.216,69.983,72.122,73.426,72.122,left,2.138,130.0,159.765,426.725,0.007,1.45,0.688,1.95,0.188
19875.0,1556016.042,5195264.025,68.389,71.515,71.242,71.242,right,2.852,182.0,263.329,778.89,0.007,1.5,1.352,2.0,0.852
20125.0,1556264.483,5195236.548,66.702,70.053,70.222,70.053,left,3.351,206.0,387.497,1322.464,0.006,1.35,2.001,1.85,1.501
20375.0,1556512.714,5195206.863,64.667,68.603,69.19,68.603,left,3.936,156.0,429.269,1841.438,0.006,1.5,2.436,2.0,1.936
20625.0,1556761.613,5195214.117,63.392,66.944,67.208,66.944,left,3.552,214.0,410.562,1369.015,0.006,1.8,1.752,2.25,1.302
20875.0,1557008.022,5195208.661,62.244,64.937,66.572,64.937,left,2.694,180.0,259.013,701.449,0.006,1.75,0.944,2.0,0.694
21125.0,1557247.767,5195137.796,61.118,64.662,64.386,64.386,right,3.269,252.0,478.563,1531.596,0.005,1.4,1.869,1.65,1.619
21375.0,1557449.107,5194990.998,59.734,63.328,63.197,63.197,right,3.463,284.0,579.771,1947.939,0.005,1.55,1.913,1.9,1.563
21625.0,1557680.227,5194908.149,58.321,61.871,60.917,60.917,right,2.596,262.0,369.209,972.759,0.005,1.35,1.246,1.7,0.896
21875.0,1557926.357,5194895.455,56.813,60.757,59.821,59.821,right,3.008,116.0,206.537,634.258,0.005,1.15,1.858,1.45,1.558
